"Account","Compte",""
"Account Name","Nom du Compte",""
"Account Number","Numéro de compte",""
"Account Type","Type de compte",""
"Accounts","Comptes",""
"Accounts Manager","Responsable comptable",""
"Accounts User","Comptable",""
"Accumulated Depreciation","Amortissement Cumulé",""
"Asset","Actif",""
"Asset Received But Not Billed","Actif reçu mais non facturé",""
"Auditor","Auditeur",""
"Balance Sheet","Bilan",""
"Balance must be","Le solde doit être",""
"Bank","Banque",""
"Capital Work in Progress","Immobilisation en cours",""
"Cash","Espèces",""
"Chargeable","Facturable",""
"Company","Société",""
"Cost of Goods Sold","Coût des marchandises vendues",""
"Credit","Crédit",""
"Currency","Devise",""
"Debit","Débit",""
"Depreciation","Amortissement",""
"Disable","Désactivé",""
"Equity","Capitaux propres",""
"Expense","Charges",""
"Expense Account","Compte de Charge",""
"Expenses Included In Asset Valuation","Dépenses incluses dans l'évaluation de l'actif",""
"Expenses Included In Valuation","Charges Incluses dans la Valorisation",""
"Fixed Asset","Actif Immobilisé",""
"Frozen","Gelé",""
"Heads (or groups) against which Accounting Entries are made and balances are maintained.","Titres (ou groupes) sur lequel les entrées comptables sont faites et les soldes sont maintenus.",""
"If the account is frozen, entries are allowed to restricted users.","Si le compte est gelé, les écritures ne sont autorisés que pour un nombre restreint d'utilisateurs.",""
"Include in gross","Inclure dans le calcul du bénéfice brut",""
"Income","Revenus",""
"Income Account","Compte de Produits",""
"Inter Company Account","Compte inter-sociétés",""
"Is Group","Est un groupe",""
"Lft","Lft",""
"Liability","Passif",""
"No","Non",""
"Old Parent","Grand Parent",""
"Parent Account","Compte parent",""
"Payable","Créditeur",""
"Profit and Loss","Compte de résultat",""
"Purchase User","Acheteur",""
"Rate","Taux",""
"Rate at which this tax is applied","Taux auquel cette taxe est appliquée",""
"Receivable","Débiteur",""
"Report Type","Type de rapport",""
"Rgt","Rgt",""
"Root Type","Type de racine",""
"Round Off","Arrondi",""
"Sales User","Commercial",""
"Setting Account Type helps in selecting this Account in transactions.","Définir le type de compte aide à sélectionner ce compte dans les transactions.",""
"Stock","Stock",""
"Stock Adjustment","Ajustement du Stock",""
"Stock Received But Not Billed","Stock Reçus Mais Non Facturés",""
"Tax","Taxe",""
"Temporary","Temporaire",""
"Yes","Oui",""
"Account Subtype","Sous-type de compte",""
"System Manager","Responsable système",""
"Accounting Dimension","Dimension comptable",""
"Dimension Defaults","Paramètres par défaut des dimensions",""
"Dimension Name","Nom de la dimension",""
"Disable","Désactiver","context"
"Fieldname","Nom du champ",""
"Mandatory For Balance Sheet","Obligatoire pour le bilan",""
"Mandatory For Profit and Loss Account","Obligatoire pour le compte de résultat",""
"Reference Document Type","Type du document de référence",""
"Accounting Dimension Detail","Détails des dimensions comptables",""
"Default Dimension","Dimension par défaut",""
"Reference Document","Document de référence",""
"Accounting Journal","Journal comptable",""
"Conditions","Conditions",""
"Disabled","Désactiver",""
"Journal Code","Code du journal",""
"Journal Name","Nom du journal",""
"Miscellaneous","Divers",""
"Purchase","Achat",""
"Purchases","Achats",""
"Sales","Ventes",""
"Type","Type",""
"Accounting Journal Rule","Règle de journal comptable",""
"Condition","Condition",""
"Default Naming Series","Série par défaut",""
"Document","Document",""
"Accounting Period","Période comptable",""
"Closed","Fermé",""
"Closed Documents","Documents fermés",""
"End Date","Date de fin",""
"Open","Ouvert",""
"Period Name","Nom de période",""
"Start Date","Date de début",""
"Status","Statut",""
"Accounting entry frozen up to this date, nobody can do / modify entry except role specified below.","Les écritures comptables sont gelées jusqu'à cette date, personne ne peut ajouter / modifier les entrées sauf le rôle spécifié ci-dessous.",""
"Accounts Frozen Upto","Comptes gelés jusqu'au",""
"Accounts Settings","Paramètres des comptes",""
"Address used to determine Tax Category in transactions.","Adresse utilisée pour déterminer la catégorie de taxes dans les transactions",""
"Allow Cost Center In Entry of Balance Sheet Account","Autoriser le centre de coûts en saisie d'un compte de bilan",""
"Allow Stale Exchange Rates","Autoriser l'utilisation de taux de change existants",""
"Automatically Add Taxes and Charges from Item Tax Template","Ajouter automatiquement les taxes et frais des modèles de taxes d'articles",""
"Automatically Fetch Payment Terms","Récupérer les termes de paiement automatiquement",""
"Automatically Process Deferred Accounting Entry","Traiter automatiquement les écritures comptables différées",""
"Billing Address","Adresse de facturation",""
"Book Asset Depreciation Entry Automatically","Comptabiliser automatiquement les écritures d'immobilisation d'actifs",""
"Check Supplier Invoice Number Uniqueness","Vérifiez l'unicité du numéro de facture du fournisseur",""
"Credit Controller","Contrôleur de crédit",""
"Currency Exchange Settings","Paramètres d'échange de devises",""
"Determine Address Tax Category From","Déterminer l'adresse de la catégorie de taxe depuis",""
"If enabled, the system will post accounting entries for inventory automatically.","Si activé, le système enregistrera automatiquement des écritures comptables pour l'inventaire.",""
"Make Accounting Entry For Every Stock Movement","Enregistrer une écriture comptable pour chaque mouvement du stock",""
"Make Payment via Journal Entry","Effectuer les paiements via une écriture de journal",""
"Only select if you have setup Cash Flow Mapper documents","Ne sélectionner que si vous avez configuré des documents de mapping de trésorerie",""
"Over Billing Allowance (%)","Tolérance (%) à la facturation",""
"Percentage you are allowed to bill more against the amount ordered. For example: If the order value is $100 for an item and tolerance is set as 10% then you are allowed to bill for $110.","Pourcentage de facturation supérieur au montant commandé autorisé. Par exemple: si le montant de la commande est de 100 € pour un article et la tolérance est de 10%, vous êtes autorisé à facturer 110 €",""
"Print Settings","Paramètres d'impression",""
"Record all transactions against an accounting journal","Comptabilisation toutes les transactions dans un journal comptable",""
"Report Settings","Paramètres de rapport",""
"Role Allowed to Set Frozen Accounts & Edit Frozen Entries","Rôle autorisé à geler des comptes & à éditer des écritures gelées",""
"Role that is allowed to submit transactions that exceed credit limits set.","Rôle qui est autorisé à valider des transactions qui dépassent les limites de crédit fixées.",""
"Settings for Accounts","Paramètres des comptes",""
"Shipping Address","Adresse de livraison",""
"Show Inclusive Tax In Print","Si elle est incluse dans le prix TTC, afficher la TVA dans le format d'impression",""
"Show Payment Schedule in Print","Afficher le calendrier de paiement dans le format d'impression",""
"Stale Days","Age maximum du taux (jours)",""
"Unlink Advance Payment on Cancelation of Order","Délier les avances de paiement à l'annulation des commandes",""
"Unlink Payment on Cancellation of Invoice","Délier les paiements à l'annulation de la facture",""
"Use Custom Cash Flow Format","Utiliser le format de flux de trésorerie personnalisé",""
"Users with this role are allowed to set frozen accounts and create / modify accounting entries against frozen accounts","Les utilisateurs ayant ce rôle sont autorisés à définir les comptes gelés et à créer / modifier des écritures comptables sur des comptes gelés",""
"Activity Cost","Coût de l'Activité",""
"Activity Type","Type d'activité",""
"Billing Rate","Taux de Facturation",""
"Costing Rate","Taux des Coûts",""
"Department","Département",""
"Employee","Employé",""
"Employee Name","Nom de l'employé",""
"Projects","Projets",""
"Projects User","Utilisateur/Intervenant Projets",""
"per hour","par heure",""
"title","titre",""
"Default Billing Rate","Prix de Facturation par Défaut",""
"Default Costing Rate","Coût de Revient par Défaut",""
"Additional Salary","Salaire supplémentaire",""
"Amended From","Modication du document",""
"Amount","Montant",""
"Date on which this component is applied","Date à laquelle ce composant est appliqué",""
"Deduct Full Tax on Selected Payroll Date","Déduire toutes les taxes au jour de la paie",""
"From Date","Date de début",""
"HR","RH",""
"HR User","Chargé RH",""
"HR-ADS-.YY.-.MM.-","HR-ADS-.YY .-. MM.-",""
"Is Recurring","Récurrent",""
"Overwrite Salary Structure Amount","Remplacer le montant de la structure salariale",""
"Payroll Date","Date de la paie",""
"Salary Component","Composante salariale",""
"Salary Component Type","Type de composant salarial",""
"Salary Slip","Fiche de Paie",""
"Series","Série",""
"To Date","Date de fin",""
"Allowed To Transact With","Autorisé à faire affaire avec",""
"AE","AE",""
"AU","AU",""
"AWS Access Key ID","ID de clé d'accès AWS",""
"After Date","Après la date",""
"Always sync your products from Amazon MWS before syncing the Orders details","Toujours synchroniser les produits depuis Amazon MWS avant de synchroniser les détails de la commande",""
"Always synch your products from Amazon MWS before synching the Orders details","Synchronisez toujours vos produits depuis Amazon MWS avant de synchroniser les détails des commandes.",""
"Amazon MWS Settings","Paramètres Amazon MWS",""
"Amazon will synch data updated after this date","Amazon synchronisera les données mises à jour après cette date",""
"BR","BR",""
"CA","Californie",""
"CN","CN",""
"Check this to enable a scheduled Daily synchronization routine via scheduler","Cochez cette case pour activer une routine de synchronisation quotidienne programmée via le planificateur",""
"Click this button to pull your Sales Order data from Amazon MWS.","Cliquez sur ce bouton pour extraire vos données de commande client d'Amazon MWS.",""
"Customer Group","Groupe de clients",""
"Customer Type","Type de client",""
"DE","DE",""
"Domain","Domaine",""
"ERPNext Integrations","Intégrations dokos",""
"ES","ES",""
"Enable Amazon","Activer Amazon",""
"Enable Scheduled Sync","Autoriser la synchronisation programmée",""
"Enable Scheduled Synch","Activer la synchronisation programmée",""
"FR","FR",""
"Get financial breakup of Taxes and charges data by Amazon ","Obtenez la répartition financière des taxes et des données de facturation par Amazon",""
"IN","IN",""
"IT","IL",""
"Individual","Individuel",""
"Item Group","Groupe d'article",""
"JP","JP",""
"MWS Auth Token","Jeton d'authentification MWS",""
"MWS Credentials","Informations d'identification MWS",""
"MX","MX",""
"Market Place Account Group","Groupe de comptes de marché",""
"Market Place ID","Identifiant de la place du marché",""
"Max Retry Limit","Max Retry Limit",""
"Price List","Liste de prix",""
"Region","Région",""
"Secret Key","Clé secrète",""
"Seller ID","ID du vendeur",""
"Sync Orders","Synchroniser les commandes",""
"Sync Products","Synchroniser les produits",""
"Sync Taxes and Charges","Synchroniser les taxes et frais",""
"Synch Orders","Commandes de synchronisation",""
"Synch Products","Produits Synch",""
"Synch Taxes and Charges","Synch Taxes et Charges",""
"Territory","Région",""
"UK","Royaume-Uni",""
"US","NOUS",""
"Warehouse","Entrepôt",""
"Appointment","Rendez-vous",""
"Appointment With","Rendez-vous avec",""
"CRM","CRM",""
"Calendar Event","Evénement du calendrier",""
"Customer Details","Détails du client",""
"Details","Détails",""
"Email","Email",""
"Guest","Invité",""
"Lead","Prospect",""
"Linked Documents","Documents liés",""
"Name","Nom",""
"Party","Tiers",""
"Phone Number","Numéro de téléphone",""
"Sales Manager","Responsable commercial",""
"Scheduled Time","Heure programmée",""
"Skype ID","ID Skype",""
"Unverified","Non vérifié",""
"Agent Details","Détails de l'agent",""
"Agents","Agents",""
"Appointment Booking Settings","Paramètres de prise de rendez-vous",""
"Appointment Details","Détails du rendez-vous",""
"Appointment Duration (In Minutes)","Durée du rendez-vous (en minutes)",""
"Availability Of Slots","Disponibilité des créneaux",""
"Enable Appointment Scheduling","Autoriser la prise de rendez-vous",""
"HR Manager","Responsable RH",""
"Holiday List","Liste de Vacances",""
"Leave blank for home.
This is relative to site URL, for example ""about"" will redirect to ""https://yoursitename.com/about""","Laisser vide pour la page d'accueil. Relatif à l'URL du site, par exemple ""contact"" redirigera vers ""https://votresite.com/contact""",""
"Notify Via Email","Notifier par email",""
"Notify customer and agent via email on the day of the appointment.","Notifier le client et l'agent par email le jour du rendez-vous",""
"Number of Concurrent Appointments","Nombre de rendez-vous simultanés",""
"Number of days appointments can be booked in advance","Permettre la prise de rendez-vous X jours en avance",""
"Success Redirect URL","URL de redirection en cas de succès",""
"Success Settings","Paramètre de succès",""
"Appointment Booking Slots","Créneaux de réservations de rendez-vous",""
"Day Of Week","Jour de la semaine",""
"Friday","Vendredi",""
"From Time ","Horaire de début",""
"Monday","Lundi",""
"Saturday","Samedi",""
"Sunday","Dimanche",""
"Thursday","Jeudi",""
"To Time","Horaire de fin",""
"Tuesday","Mardi",""
"Wednesday","Mercredi",""
"Applicant Name","Nom du Candidat",""
"Appointment Date","Date d'embauche",""
"Appointment Letter","Promesse d'embauche",""
"Appointment Letter Template","Modèle de promesse d'embauche",""
"Body","Corps",""
"Closing Notes","Conclusion",""
"Introduction","Introduction",""
"Job Applicant","Demandeur d'Emploi",""
"Terms","Termes",""
"Appointment Letter content","Contenu de la promesse d'embauche",""
"Description","Description",""
"Title","Titre",""
"Any other remarks, noteworthy effort that should go in the records.","Toute autre remarque, effort remarquable qui devrait aller dans les dossiers.",""
"Appraisal","Estimation",""
"Appraisal Template","Modèle d'évaluation",""
"Calculate Total Score","Calculer le Résultat Total",""
"Cancelled","Annulé",""
"Completed","Complété",""
"Draft","Brouillon",""
"For Employee","Employé",""
"For Employee Name","Nom de l'employé",""
"Goals","Objectifs",""
"HR-APR-.YY.-.MM.","HR-APR-.YY.-.MM.",""
"Remarks","Remarques",""
"Submitted","Soumis",""
"Total Score (Out of 5)","Score Total (sur 5)",""
"Appraisal Goal","Objectif d'Estimation",""
"Goal","Objectif",""
"Key Responsibility Area","Domaine de Responsabilités Principal",""
"Score (0-5)","Score (0-5)",""
"Score Earned","Score Gagné",""
"Weightage (%)","Poids (%)",""
"Appraisal Template Title","Titre du modèle d'évaluation",""
"Appraisal Template Goal","But du Modèle d'Évaluation",""
"KRA","KRA",""
"Key Performance Area","Domaine Essentiel de Performance",""
"ACC-ASS-.YYYY.-","ACC-ASS-YYYY.-",""
"Accounting Dimensions","Dimensions comptables",""
"Allow Monthly Depreciation","Autoriser les amortissements mensuels",""
"Asset Category","Catégorie d'Actif",""
"Asset Name","Nom de l'Actif",""
"Asset Owner","Propriétaire de l'Actif",""
"Asset Owner Company","Société Propriétaire de l'Actif",""
"Assets","Actifs",""
"Available-for-use Date","Date de mise en service",""
"Booked Fixed Asset","Actif immobilisé comptabilisé",""
"Calculate Depreciation","Calculer la dépréciation",""
"Check if Asset requires Preventive Maintenance or Calibration","Vérifier si l'actif nécessite une maintenance préventive ou un étalonnage",""
"Comprehensive Insurance","Assurance complète",""
"Cost Center","Centre de coûts",""
"Custodian","Responsable",""
"Customer","Client",""
"Default Finance Book","Livre comptable par défaut",""
"Depreciation Method","Méthode d'Amortissement",""
"Depreciation Schedule","Calendrier d'Amortissement",""
"Depreciation Schedules","Calendriers d'Amortissement",""
"Disposal Date","Date d’Élimination",""
"Double Declining Balance","Double Solde Dégressif",""
"Finance Books","Livres comptables",""
"Frequency of Depreciation (Months)","Fréquence des Amortissements (Mois)",""
"Fully Depreciated","Complètement déprécié",""
"Gross Purchase Amount","Montant d'Achat Brut",""
"Image","Image",""
"In Maintenance","En maintenance",""
"Insurance Details","Détails Assurance",""
"Insurance End Date","Date de fin de l'assurance",""
"Insurance Start Date","Date de début de l'assurance",""
"Insurance details","Détails de l'assurance",""
"Insured value","Valeur assurée",""
"Insurer","Assureur",""
"Is Existing Asset","Est Actif Existant",""
"Issue","Ticket",""
"Item Code","Code de l'Article",""
"Item Name","Nom de l'article",""
"Journal Entry for Scrap","Écriture de journal pour la Mise au Rebut",""
"Location","Lieu",""
"Maintenance","Entretien",""
"Maintenance Required","Maintenance requise",""
"Manual","Manuel",""
"Naming Series","Nom de série",""
"Next Depreciation Date","Date de l’Amortissement Suivant",""
"Number of Depreciations Booked","Nombre d’Amortissements Comptabilisés",""
"Opening Accumulated Depreciation","Amortissement Cumulé d'Ouverture",""
"Other Details","Autres Détails",""
"Out of Order","Hors service",""
"Partially Depreciated","Partiellement déprécié",""
"Policy number","Numéro de politique",""
"Prorated Straight Line (360 Days)","Linéaire au prorata (360 jours)",""
"Purchase Date","Date d'Achat",""
"Purchase Invoice","Facture d’Achat",""
"Purchase Receipt","Reçu d’Achat",""
"Purchase Receipt Amount","Montant du reçu d'achat",""
"Quality Manager","Responsable Qualité",""
"Receipt","Reçu",""
"Scrapped","Mis au rebut",""
"Sold","Vendu",""
"Straight Line","Linéaire",""
"Supplier","Fournisseur",""
"Total Number of Depreciations","Nombre Total d’Amortissements",""
"Value After Depreciation","Valeur Après Amortissement",""
"Asset Category Name","Nom de Catégorie d'Actif",""
"Depreciation Options","Options d'amortissement",""
"Enable Capital Work in Progress Accounting","Autoriser la comptabilisation des immobilisations en cours",""
"Finance Book Detail","Détails du livre comptable",""
"Accumulated Depreciation Account","Compte d'Amortissement Cumulé",""
"Asset Category Account","Compte de Catégorie d'Actif",""
"Capital Work In Progress Account","Compte d'immobilisation en cours",""
"Depreciation Expense Account","Compte de Dotations aux Amortissement",""
"Fixed Asset Account","Compte d'Actif Immobilisé",""
"Asset Finance Book","Livre comptable d'actifs",""
"Depreciation Start Date","Date de début de l'amortissement",""
"Expected Value After Useful Life","Valeur Attendue Après Utilisation Complète",""
"Finance Book","Livre comptable",""
"In Percentage","En pourcentage",""
"Rate of Depreciation","Taux de dépréciation",""
"Written Down Value","Valeur comptable nette",""
"Asset Maintenance","Maintenance des Actifs",""
"Maintenance Manager","Responsable de la maintenance",""
"Maintenance Manager Name","Nom du responsable de la maintenance",""
"Maintenance Tasks","Tâches de maintenance",""
"Maintenance Team","Équipe de maintenance",""
"Manufacturing User","Chargé de production",""
"Select Serial No","Veuillez sélectionner le numéro de série",""
"Serial No","N° de série",""
"Tasks","Tâches",""
"ACC-AML-.YYYY.-","ACC-AML-.YYYY.-",""
"Actions performed","Actions réalisées",""
"Asset Maintenance Log","Journal de Maintenance des Actifs",""
"Assign To","Attribuer à",""
"Certificate","Certificat",""
"Completed","Terminé","context"
"Completion Date","Date d'Achèvement",""
"Due Date","Date d'échéance de paiement",""
"Has Certificate","A un certificat",""
"Has Certificate ","A un certificat",""
"Maintenance Status","Statut d'Entretien",""
"Maintenance Type","Type d'Entretien",""
"Overdue","En Retard",""
"Periodicity","Périodicité",""
"Planned","Prévu",""
"Task","Tâche",""
"Task Name","Nom de la tâche",""
"2 Yearly","2 ans",""
"Asset Maintenance Task","Tâche de Maintenance des Actifs",""
"Assign To Name","Attribuer au nom",""
"Assign to Name","Attribué à",""
"Calibration","Étalonnage",""
"Certificate Required","Certificat requis",""
"Daily","Quotidien",""
"Last Completion Date","Dernière date d'achèvement",""
"Maintenance Task","Tâche de maintenance",""
"Monthly","Mensuel",""
"Next Due Date","prochaine date d'échéance",""
"Preventive Maintenance","Maintenance préventive",""
"Quarterly","Trimestriel",""
"Weekly","Hebdomadaire",""
"Yearly","Annuel",""
"Asset Maintenance Team","Équipe de Maintenance des Actifs",""
"Maintenance Team Members","Membres de l'équipe de maintenance",""
"Maintenance Team Name","Nom de l'équipe de maintenance",""
"ACC-ASM-.YYYY.-","ACC-ASM-.YYYY.-",""
"Asset Movement","Mouvement d'Actif",""
"From Employee","De l'Employé",""
"Purpose","Objet",""
"Quantity","Quantité",""
"Reference","Référence",""
"Reference DocType","Type de document de référence",""
"Reference Document Name","Nom du document de référence",""
"Reference Name","Nom du document de référence",""
"Source Location","Localisation source",""
"Stock Manager","Responsable des stocks",""
"Target Location","Localisation cible",""
"To Employee","À l'employé",""
"Transaction Date","Date de la Transaction",""
"Transfer","Transférer",""
"Asset Movement Item","Article de mouvement d'actif",""
"Asset Name","Nom de l'actif","context"
"From Employee","De l'employé","context"
"ACC-ASR-.YYYY.-","ACC-ASR-.AAAA.-",""
"Asset Repair","Réparation d'Actif",""
"Downtime","Temps d'arrêt",""
"Error Description","Erreur de description",""
"Failure Date","Date d'échec",""
"Manufacturing Manager","Responsable de production",""
"Pending","En attente",""
"Repair Cost","Coût de réparation",""
"Repair Status","État de réparation",""
"Asset Settings","Paramètres des actifs",""
"Disable CWIP Accounting","Désactiver l'enregistrement sur une compte de travaux en cours",""
"Asset Value Adjustment","Ajustement de la valeur des actifs",""
"Current Asset Value","Valeur actuelle de l'actif",""
"Date","Date",""
"Difference Amount","Écart de montant",""
"Journal Entry","Écriture de journal",""
"New Asset Value","Nouvelle valeur de l'actif",""
"ATT-","ATT-",""
"Absent","Absent",""
"Attendance","Présence",""
"Attendance Date","Date de Présence",""
"Attendance Request","Demande de validation de présence",""
"Early Exit","Départ anticipé",""
"Half Day","Demi-journée",""
"Late Entry","Arrivée tardive",""
"Leave Application","Demande de Congés",""
"Leave Type","Type de congé",""
"On Leave","En Congé",""
"Present","Présent",""
"Shift","Quarts",""
"Work From Home","Télétravail",""
"Working Hours","Heures de Travail",""
"Explanation","Explication",""
"Half Day Date","Date de Demi-Journée",""
"On Duty","Permanence",""
"Reason","Raison",""
"Authorization Control","Contrôle d'Autorisation",""
"Setup","Configuration",""
"Applicable To (Designation)","Applicable À (Désignation)",""
"Applicable To (Employee)","Applicable À (Employé)",""
"Applicable To (Role)","Applicable À (Rôle)",""
"Applicable To (User)","Applicable À (Utilisateur)",""
"Approving Role (above authorized value)","Rôle Approbateur (valeurs autorisées ci-dessus)",""
"Approving User  (above authorized value)","Utilisateur Approbateur (valeurs autorisées ci-dessus)",""
"Authorization Rule","Règle d'Autorisation",""
"Authorized Value","Valeur Autorisée",""
"Average Discount","Remise Moyenne",""
"Based On","Basé sur",""
"Customer / Item Name","Nom du Client / de l'Article",""
"Customer or Item","Client ou Article",""
"Customerwise Discount","Remise en fonction du Client",""
"Delivery Note","Bon de livraison",""
"Grand Total","Total TTC",""
"Item","Article",""
"Itemwise Discount","Remise par Article",""
"Not Applicable","Non Applicable",""
"Purchase Order","Commande fournisseur",""
"Quotation","Devis",""
"Sales Invoice","Facture de vente",""
"Sales Order","Commande client",""
"Transaction","Transaction",""
"From Time","Horaire de Début",""
"To Time","Horaire de Fin","context"
"Allow Alternative Item","Autoriser un article alternatif",""
"Allow Same Item Multiple Times","Autoriser le même élément plusieurs fois",""
"BOM","LDM (Liste de Matériaux)",""
"Conversion Rate","Taux de Conversion",""
"Costing","Coût",""
"Currency and Price List","Devise et liste de prix",""
"Exploded Items","Articles éclatés",""
"Has Variants","A des variantes",""
"Image View","Vue image",""
"Inspection Required","Inspection obligatoire",""
"Is Active","Est actif",""
"Is Default","Par défaut",""
"Item Description","Description de l'Article",""
"Item Image (if not slideshow)","Image de l'Article (si ce n'est diaporama)",""
"Item UOM","Unité de mesure de l'Article",""
"Item to be manufactured or repacked","Article à produire ou à réemballer",""
"Items","Articles",""
"Job Card","Carte de travail",""
"Last Purchase Rate","Dernier Prix d'Achat",""
"Manage cost of operations","Gérer les coûts d'exploitation",""
"Manufacturing","Production",""
"Materials","Matériels",""
"Materials Required (Exploded)","Matériel Requis (Éclaté)",""
"Operating Cost","Coût d'Exploitation",""
"Operating Cost (Company Currency)","Coût d'Exploitation (Devise Société)",""
"Operations","Opérations",""
"Price List Currency","Devise de la liste de prix",""
"Price List Exchange Rate","Taux de change de la Liste de prix",""
"Project","Projet",""
"Quality Inspection Required","Inspection de la qualité requise",""
"Quality Inspection Template","Modèle d'inspection de la qualité",""
"Quantity of item obtained after manufacturing / repacking from given quantities of raw materials","Quantité d'article obtenue après production / reconditionnement des quantités données de matières premières",""
"Rate Of Materials Based On","Prix des Matériaux Basé sur",""
